ticker,company_name,cik,exchange,sector,industry,industry_slug,market_cap,in_sp500,in_nasdaq100,cik_source,market_cap_note
NVDA,NVIDIA Corporation,0001045810,NASDAQ,Information Technology,Semiconductors,semiconductors,3150000000000,True,True,SEC company_tickers.json (cik_str=1045810) verified 2026-08-18,Unofficial approximate snapshot — not an SEC figure
AVGO,Broadcom Inc.,0001730168,NASDAQ,Information Technology,Semiconductors,semiconductors,780000000000,True,True,SEC company_tickers.json (cik_str=1730168) verified 2026-08-18,Unofficial approximate snapshot — not an SEC figure
AMD,Advanced Micro Devices Inc.,0000002488,NASDAQ,Information Technology,Semiconductors,semiconductors,260000000000,True,True,SEC company_tickers.json (cik_str=2488) verified 2026-08-18,Unofficial approximate snapshot — not an SEC figure
INTC,Intel Corporation,0000050863,NASDAQ,Information Technology,Semiconductors,semiconductors,135000000000,True,True,SEC company_tickers.json (cik_str=50863) verified 2026-08-18,Unofficial approximate snapshot — not an SEC figure
QCOM,QUALCOMM Incorporated,0000804328,NASDAQ,Information Technology,Semiconductors,semiconductors,220000000000,True,True,SEC EDGAR company search / company_tickers.json verified 2026-08-18,Unofficial approximate snapshot — not an SEC figure
MU,Micron Technology Inc.,0000723125,NASDAQ,Information Technology,Semiconductors,semiconductors,145000000000,True,True,SEC company_tickers.json (cik_str=723125) verified 2026-08-18,Unofficial approximate snapshot — not an SEC figure
TXN,Texas Instruments Incorporated,0000097476,NASDAQ,Information Technology,Semiconductors,semiconductors,185000000000,True,True,SEC company_tickers.json (cik_str=97476) verified 2026-08-18,Unofficial approximate snapshot — not an SEC figure
MSFT,Microsoft Corporation,0000789019,NASDAQ,Information Technology,Software - Infrastructure,software_infrastructure,3200000000000,True,True,SEC company_tickers.json (cik_str=789019) verified 2026-08-18,Unofficial approximate snapshot — not an SEC figure
ORCL,Oracle Corporation,0001341439,NYSE,Information Technology,Software - Infrastructure,software_infrastructure,385000000000,True,False,SEC company_tickers.json (cik_str=1341439) verified 2026-08-18,Unofficial approximate snapshot — not an SEC figure
ADBE,Adobe Inc.,0000796343,NASDAQ,Information Technology,Software - Infrastructure,software_infrastructure,240000000000,True,True,SEC company_tickers.json (cik_str=796343) verified 2026-08-18,Unofficial approximate snapshot — not an SEC figure
PANW,Palo Alto Networks Inc.,0001327567,NASDAQ,Information Technology,Software - Infrastructure,software_infrastructure,110000000000,True,True,SEC company_tickers.json (cik_str=1327567) verified 2026-08-18,Unofficial approximate snapshot — not an SEC figure
CRWD,CrowdStrike Holdings Inc.,0001535527,NASDAQ,Information Technology,Software - Infrastructure,software_infrastructure,95000000000,True,True,SEC company_tickers.json (cik_str=1535527) verified 2026-08-18,Unofficial approximate snapshot — not an SEC figure
SNPS,Synopsys Inc.,0000883241,NASDAQ,Information Technology,Software - Infrastructure,software_infrastructure,85000000000,True,True,SEC EDGAR company search CIK 0000883241 verified 2026-08-18,Unofficial approximate snapshot — not an SEC figure
AAPL,Apple Inc.,0000320193,NASDAQ,Information Technology,Consumer Electronics,consumer_electronics,4525000000000,True,True,SEC company_tickers.json (cik_str=320193) verified 2026-08-18,Yahoo Finance market cap ~$4.525T as of 2026-08-18 (not an SEC figure)
ACN,Accenture plc,0001467373,NYSE,Information Technology,IT Services,it_services,210000000000,True,False,SEC company_tickers.json (cik_str=1467373) verified 2026-08-18,Unofficial approximate snapshot — not an SEC figure
IBM,International Business Machines Corporation,0000051143,NYSE,Information Technology,IT Services,it_services,175000000000,True,False,SEC company_tickers.json (cik_str=51143) verified 2026-08-18,Unofficial approximate snapshot — not an SEC figure
CSCO,Cisco Systems Inc.,0000858877,NASDAQ,Information Technology,Communication Equipment,communication_equipment,195000000000,True,True,SEC company_tickers.json (cik_str=858877) verified 2026-08-18,Unofficial approximate snapshot — not an SEC figure
LLY,Eli Lilly and Company,0000059478,NYSE,Health Care,Pharmaceuticals,pharmaceuticals,820000000000,True,False,SEC company_tickers.json (cik_str=59478) verified 2026-08-18,Unofficial approximate snapshot — not an SEC figure
JNJ,Johnson & Johnson,0000200406,NYSE,Health Care,Pharmaceuticals,pharmaceuticals,380000000000,True,False,SEC company_tickers.json (cik_str=200406) verified 2026-08-18,Unofficial approximate snapshot — not an SEC figure
PFE,Pfizer Inc.,0000078003,NYSE,Health Care,Pharmaceuticals,pharmaceuticals,165000000000,True,False,SEC company_tickers.json (cik_str=78003) verified 2026-08-18,Unofficial approximate snapshot — not an SEC figure
MRK,Merck & Co. Inc.,0000310158,NYSE,Health Care,Pharmaceuticals,pharmaceuticals,320000000000,True,False,SEC company_tickers.json (cik_str=310158) verified 2026-08-18,Unofficial approximate snapshot — not an SEC figure
AMGN,Amgen Inc.,0000318154,NASDAQ,Health Care,Biotechnology,biotechnology,170000000000,True,True,SEC company_tickers.json (cik_str=318154) verified 2026-08-18,Unofficial approximate snapshot — not an SEC figure
GILD,Gilead Sciences Inc.,0000882095,NASDAQ,Health Care,Biotechnology,biotechnology,95000000000,True,True,SEC company_tickers.json (cik_str=882095) verified 2026-08-18,Unofficial approximate snapshot — not an SEC figure
VRTX,Vertex Pharmaceuticals Incorporated,0000875320,NASDAQ,Health Care,Biotechnology,biotechnology,125000000000,True,True,SEC company_tickers.json (cik_str=875320) verified 2026-08-18,Unofficial approximate snapshot — not an SEC figure
REGN,Regeneron Pharmaceuticals Inc.,0000872589,NASDAQ,Health Care,Biotechnology,biotechnology,105000000000,True,True,SEC company_tickers.json (cik_str=872589) verified 2026-08-18,Unofficial approximate snapshot — not an SEC figure
MRNA,Moderna Inc.,0001682852,NASDAQ,Health Care,Biotechnology,biotechnology,45000000000,True,True,SEC EDGAR company search CIK 0001682852 verified 2026-08-18,Unofficial approximate snapshot — not an SEC figure
UNH,UnitedHealth Group Incorporated,0000731766,NYSE,Health Care,Health Care Plans,health_care_plans,460000000000,True,False,SEC company_tickers.json (cik_str=731766) verified 2026-08-18,Unofficial approximate snapshot — not an SEC figure
ELV,Elevance Health Inc.,0001156039,NYSE,Health Care,Health Care Plans,health_care_plans,115000000000,True,False,SEC company_tickers.json (cik_str=1156039) verified 2026-08-18,Unofficial approximate snapshot — not an SEC figure
ABT,Abbott Laboratories,0000001800,NYSE,Health Care,Medical Devices,medical_devices,185000000000,True,False,SEC company_tickers.json (cik_str=1800) verified 2026-08-18,Unofficial approximate snapshot — not an SEC figure
MDT,Medtronic plc,0001613103,NYSE,Health Care,Medical Devices,medical_devices,105000000000,True,False,SEC company_tickers.json (cik_str=1613103) verified 2026-08-18,Unofficial approximate snapshot — not an SEC figure
SYK,Stryker Corporation,0000310764,NYSE,Health Care,Medical Devices,medical_devices,130000000000,True,False,SEC company_tickers.json (cik_str=310764) verified 2026-08-18,Unofficial approximate snapshot — not an SEC figure
JPM,JPMorgan Chase & Co.,0000019617,NYSE,Financials,Banks - Diversified,banks_diversified,580000000000,True,False,SEC company_tickers.json (cik_str=19617) verified 2026-08-18,Unofficial approximate snapshot — not an SEC figure
BAC,Bank of America Corporation,0000070858,NYSE,Financials,Banks - Diversified,banks_diversified,310000000000,True,False,SEC company_tickers.json (cik_str=70858) verified 2026-08-18,Unofficial approximate snapshot — not an SEC figure
WFC,Wells Fargo & Company,0000072971,NYSE,Financials,Banks - Diversified,banks_diversified,205000000000,True,False,SEC company_tickers.json (cik_str=72971) verified 2026-08-18,Unofficial approximate snapshot — not an SEC figure
C,Citigroup Inc.,0000831001,NYSE,Financials,Banks - Diversified,banks_diversified,125000000000,True,False,SEC company_tickers.json (cik_str=831001) verified 2026-08-18,Unofficial approximate snapshot — not an SEC figure
GS,The Goldman Sachs Group Inc.,0000886982,NYSE,Financials,Capital Markets,capital_markets,155000000000,True,False,SEC company_tickers.json (cik_str=886982) verified 2026-08-18,Unofficial approximate snapshot — not an SEC figure
MS,Morgan Stanley,0000895421,NYSE,Financials,Capital Markets,capital_markets,160000000000,True,False,SEC company_tickers.json (cik_str=895421) verified 2026-08-18,Unofficial approximate snapshot — not an SEC figure
SCHW,The Charles Schwab Corporation,0000316709,NYSE,Financials,Capital Markets,capital_markets,135000000000,True,False,SEC company_tickers.json (cik_str=316709) verified 2026-08-18,Unofficial approximate snapshot — not an SEC figure
V,Visa Inc.,0001403161,NYSE,Financials,Credit Services,credit_services,540000000000,True,False,SEC company_tickers.json (cik_str=1403161) verified 2026-08-18,Unofficial approximate snapshot — not an SEC figure
MA,Mastercard Incorporated,0001141391,NYSE,Financials,Credit Services,credit_services,440000000000,True,False,SEC company_tickers.json (cik_str=1141391) verified 2026-08-18,Unofficial approximate snapshot — not an SEC figure
AXP,American Express Company,0000004962,NYSE,Financials,Credit Services,credit_services,170000000000,True,False,SEC company_tickers.json (cik_str=4962) verified 2026-08-18,Unofficial approximate snapshot — not an SEC figure
PGR,The Progressive Corporation,0000080661,NYSE,Financials,Insurance - Property & Casualty,insurance_property_casualty,125000000000,True,False,SEC company_tickers.json (cik_str=80661) verified 2026-08-18,Unofficial approximate snapshot — not an SEC figure
CB,Chubb Limited,0000896159,NYSE,Financials,Insurance - Property & Casualty,insurance_property_casualty,105000000000,True,False,SEC company_tickers.json (cik_str=896159) verified 2026-08-18,Unofficial approximate snapshot — not an SEC figure
TSLA,Tesla Inc.,0001318605,NASDAQ,Consumer Discretionary,Automotive,automotive,750000000000,True,True,SEC company_tickers.json (cik_str=1318605) verified 2026-08-18,Unofficial approximate snapshot — not an SEC figure
F,Ford Motor Company,0000037996,NYSE,Consumer Discretionary,Automotive,automotive,48000000000,True,False,SEC EDGAR company search CIK 0000037996 verified 2026-08-18,Unofficial approximate snapshot — not an SEC figure
GM,General Motors Company,0001467858,NYSE,Consumer Discretionary,Automotive,automotive,52000000000,True,False,SEC EDGAR company search CIK 0001467858 verified 2026-08-18,Unofficial approximate snapshot — not an SEC figure
AMZN,Amazon.com Inc.,0001018724,NASDAQ,Consumer Discretionary,Internet Retail,internet_retail,1950000000000,True,True,SEC company_tickers.json (cik_str=1018724) verified 2026-08-18,Unofficial approximate snapshot — not an SEC figure
EBAY,eBay Inc.,0001065088,NASDAQ,Consumer Discretionary,Internet Retail,internet_retail,27000000000,True,True,SEC EDGAR company search CIK 0001065088 verified 2026-08-18,Unofficial approximate snapshot — not an SEC figure
HD,The Home Depot Inc.,0000354950,NYSE,Consumer Discretionary,Home Improvement Retail,home_improvement_retail,360000000000,True,False,SEC company_tickers.json (cik_str=354950) verified 2026-08-18,Unofficial approximate snapshot — not an SEC figure
LOW,Lowe's Companies Inc.,0000060667,NYSE,Consumer Discretionary,Home Improvement Retail,home_improvement_retail,130000000000,True,False,SEC company_tickers.json (cik_str=60667) verified 2026-08-18,Unofficial approximate snapshot — not an SEC figure
MCD,McDonald's Corporation,0000063908,NYSE,Consumer Discretionary,Restaurants,restaurants,185000000000,True,False,SEC company_tickers.json (cik_str=63908) verified 2026-08-18,Unofficial approximate snapshot — not an SEC figure
SBUX,Starbucks Corporation,0000829224,NASDAQ,Consumer Discretionary,Restaurants,restaurants,88000000000,True,True,SEC company_tickers.json (cik_str=829224) verified 2026-08-18,Unofficial approximate snapshot — not an SEC figure
GOOGL,Alphabet Inc.,0001652044,NASDAQ,Communication Services,Internet Content & Information,internet_content_information,2100000000000,True,True,SEC company_tickers.json (cik_str=1652044) verified 2026-08-18,Unofficial approximate snapshot — not an SEC figure
META,Meta Platforms Inc.,0001326801,NASDAQ,Communication Services,Internet Content & Information,internet_content_information,1250000000000,True,True,SEC company_tickers.json (cik_str=1326801) verified 2026-08-18,Unofficial approximate snapshot — not an SEC figure
NFLX,Netflix Inc.,0001065280,NASDAQ,Communication Services,Entertainment,entertainment,280000000000,True,True,SEC company_tickers.json (cik_str=1065280) verified 2026-08-18,Unofficial approximate snapshot — not an SEC figure
DIS,The Walt Disney Company,0001744489,NYSE,Communication Services,Entertainment,entertainment,180000000000,True,False,SEC company_tickers.json (cik_str=1744489) verified 2026-08-18,Unofficial approximate snapshot — not an SEC figure
CMCSA,Comcast Corporation,0001166691,NASDAQ,Communication Services,Entertainment,entertainment,155000000000,True,True,SEC company_tickers.json (cik_str=1166691) verified 2026-08-18,Unofficial approximate snapshot — not an SEC figure
T,AT&T Inc.,0000732717,NYSE,Communication Services,Telecom Services,telecom_services,135000000000,True,False,SEC company_tickers.json (cik_str=732717) verified 2026-08-18,Unofficial approximate snapshot — not an SEC figure
VZ,Verizon Communications Inc.,0000732712,NYSE,Communication Services,Telecom Services,telecom_services,170000000000,True,False,SEC company_tickers.json (cik_str=732712) verified 2026-08-18,Unofficial approximate snapshot — not an SEC figure
TMUS,T-Mobile US Inc.,0001283699,NASDAQ,Communication Services,Telecom Services,telecom_services,205000000000,True,True,SEC company_tickers.json (cik_str=1283699) verified 2026-08-18,Unofficial approximate snapshot — not an SEC figure
BA,The Boeing Company,0000012927,NYSE,Industrials,Aerospace & Defense,aerospace_defense,115000000000,True,False,SEC company_tickers.json (cik_str=12927) verified 2026-08-18,Unofficial approximate snapshot — not an SEC figure
RTX,RTX Corporation,0000101829,NYSE,Industrials,Aerospace & Defense,aerospace_defense,140000000000,True,False,SEC company_tickers.json (cik_str=101829) verified 2026-08-18,Unofficial approximate snapshot — not an SEC figure
LMT,Lockheed Martin Corporation,0000936468,NYSE,Industrials,Aerospace & Defense,aerospace_defense,112000000000,True,False,SEC company_tickers.json (cik_str=936468) verified 2026-08-18,Unofficial approximate snapshot — not an SEC figure
GE,General Electric Company,0000040545,NYSE,Industrials,Aerospace & Defense,aerospace_defense,180000000000,True,False,SEC company_tickers.json (cik_str=40545) verified 2026-08-18,Unofficial approximate snapshot — not an SEC figure
UPS,United Parcel Service Inc.,0001090727,NYSE,Industrials,Integrated Freight & Logistics,integrated_freight_logistics,118000000000,True,False,SEC company_tickers.json (cik_str=1090727) verified 2026-08-18,Unofficial approximate snapshot — not an SEC figure
FDX,FedEx Corporation,0001048911,NYSE,Industrials,Integrated Freight & Logistics,integrated_freight_logistics,72000000000,True,False,SEC EDGAR company search CIK 0001048911 (FEDEX CORP) verified 2026-08-18,Unofficial approximate snapshot — not an SEC figure
CAT,Caterpillar Inc.,0000018230,NYSE,Industrials,Industrial Machinery,industrial_machinery,165000000000,True,False,SEC company_tickers.json (cik_str=18230) verified 2026-08-18,Unofficial approximate snapshot — not an SEC figure
